airport name,airport code
TUPELO MUNICIPAL,TUP
MIDDLETON MUNI MOREY FIELD,C29
FIUMICINO ARPT,FCO
WACO REGIONAL ARPT,ACT
LIEGE ARPT,LGG
CHESTERFIELD COUNTY ARPT,KFC
CASTLE ARPT,MER
SKAGIT REGIONAL,MVW
SIMON BOLIVAR INTL,CCS
MERRILL FIELD ARPT,MRI
GRAND CANYON NATIONAL,GCN
LA ROMANA INTL,LRM
REID-HILLVIEW ARPT OF SANTA CLARA CNTY,RHV
BERZ-MACOMB ARPT,MQB
FLYING CLOUD ARPT,FCM
SOUTHWEST MINNESOTA REGIONAL ARPT,MML
BEMIDJI REGIONAL ARPT,BJI
SPENCER MUNICIPAL AIRPORT,SPW
GREATER PORTSMOUTH REGIONAL ARPT,PMH
TOMPKINS COUNTY ARPT,ITH
GREGG COUNTY ARPT,GGG
GREENBRIER VALLEY ARPT,LWB
WILEY POST ARPT,PWA
VIRU VIRU INTL,VVI
ERNESTO CORTISSOZ,BAQ
LIMA ALLEN COUNTY,AOH
MERLE K (MUDHOLE) SMITH ARPT,CDV
SOUTHWEST MICHIGAN REGIONAL,BEH
TACOMA NARROWS ARPT,TIW
MATHIS FIELD (TX),SJT
GREENWOOD MUNICIPAL ARPT,KHF
PIARCO TRINIDAD,POS
FAIRMONT MUNICIPAL ARPT,FRM
LA AURORA,GUA
NAPLES MUNICIPAL,APF
HOUSTON GULF ARPT,SPX
MORAN FIELD ARPT,HOT
MASON COUNTY ARPT (MI),LDM
PUERTO PLATA INTL,POP
ASHTABULA COUNTY,JFN
COLEMAN A YOUNG MUNICIPAL ARPT,DET
MANSFIELD LAHM MUNICIPAL,MFD
LYNDEN PINDLING INTL ARPT,NAS
HERLONG ARPT,KHE
CAPT FEAR REGIONAL JETPORT,KSU
CARRABELLE-THOMPSON,X13
FRANCIS S GABRESKI ARPT,FOK
HAWKINS ARPT,HKS
HEMET-RYAN ARPT,HMT
CUBA MUNICIPAL ARPT,HAV
PAGE FIELD ARPT,FMY
MERRILL C MEIGS ARPT,KCG
LOS CABOS INTL,SJD
DECATUR ARPT,DEC
TERRE HAUTE INTL ARPT-HULMAN FIELD,HUF
TOLUCA/LIC ADOLFO,TLC
CHARLOTTESVILLE-ALBEMARLE ARPT,CHO
ELKHART MUNICIPAL ARPT,EKI
KINSTON REGL JETPORT,ISO
SIGONELLA,NSY
MT PLEASANT MUNICIPAL ARPT,MOP
LIBERAL MUNICIPAL,LBL
NORFOLK REGIONAL ARPT,ORF
ESSEX COUNTY AIRPORT,CDW
DANVILLE REGIONAL ARPT,DAN
COLUMBUS MUNICIPAL ARPT (NE),OLU
GUANAJUATO DEL BAJIO INTL,BJX
SAN LUIS COUNTY REGIONAL ARPT,SBP
PALMDALE REGIONAL ARPT,PMD
STOCKTON METRO,SCK
GUNNISON COUNTY,GUC
LLANO MUNICIPAL ARPT,KAQ
CHARLOTTE-MONROE  EXECUTIVE ARPT,KEQ
OWEN ROBERTS INTL,GCM
W K KELLOGG ARPT,BTL
FORT WORTH ALLIANCE,AFW
ALBERT WHITTED,SPG
STELLAR AIRPARK,P19
DESTIN-FORT WALTON BEACH ARPT,VPS
CALGARY INTL,YYC
DELAWARE COUNTY REGIONAL ARPT,MIE
YAKIMA AIR TERMINAL,YKM
RALEIGH EXEC JETPORT AT SANFORD-LEE CNTY ARPT,TTA
DAVID'S ARPT,TLV
BUFFALO AIRFIELD ARPT,BUF
HAWKINS FIELD ARPT,HKS
ASHE COUNTY,KGE
NORTH PLATTE REGIONAL,LBF
GATWICK - LONDON,LGW
CLARK COUNTY REGIONAL ARPT (IN),KJV
TIANJIN (CHINA),TSN
BENITO JUAREZ INTL,MEX
KENT STATE UNIVERSITY,1G3
CORTEZ MUNICIPAL ARPT,CEZ
SANTA MARIA PUBLIC,SMX
SANTA FE MUNICIPAL,SAF
MANITOWOC COUNTY ARPT,MTW
LAKE HAVASU CITY ARPT,HII
BARNES MUNICIPAL ARPT,BAF
FORD ARPT,GRR
PROVO MUNICIPAL ARPT,PVU
FOUR CORNERS REGIONAL,FMN
DELAND MUNICIPAL ARPT,KDE
FORBES FIELD AIRPORT,FOE
H L SONNY CALLAHAN ARPT,KCQ
WM FAIRCHILD INTL ARPT,CLM
MID-DELTA REGIONAL,GLH
ANN ARBOR MUNICIPAL,ARB
TSTC WACO,CNW
ST. CLOUD REGIONAL,STC
FAYETTVILLE MUNICIPAL,FAY
BESSEMER ARPT,KEK
BRENNER FIELD ARPT,KFN
ANNISTON METROPOLITAN ARPT,ANB
COZUMEL MEXICO,CZM
BLOCK ISLAND STATE,BID
CLEARVIEW AIRPARK,K2W
MUIR ARMY AIRFIELD,MUI
LAKE IN THE HILLS,3CK
LOUISA COUNTY ARPT/FREEMAN FLD,LOW
MEADOW LAKE ARPT,KFL
JOHN F KENNEDY MEMORIAL,ASX
TYONEK ARPT,TYE
PEARLAND REGIONAL ARPT,KLV
HURON REGIONAL ARPT,HON
NORTH LAS VEGAS,VGT
SOUTHBRIDGE MUNICIPAL ARPT,3B0
LARAMIE REGIONAL,LAR
HAMILTON ISLAND,HTI
JOHNSTON ATOLL ARPT,JON
ROSEAU MUNI ARPT/RUDY BILLBERG FLD,ROX
GAINESVILLE MUNICIPAL ARPT,GNV
LITCHFIELD MUNICIPAL,KLJ
GRIFFING SANDUSKY ARPT,SKY
PUT IN BAY,3W2
WALDRONAIRE ARPT,MWH
SANTA MONICA MUNICIPAL,SMO
GREATER KANKAKEE ARPT,IKK
GREELEY-WELD COUNTY ARPT,GXY
ST. GEORGE  ARPT (AK),OAK
WORTHINGTON MUNICIPAL ARPT,OTG
BEAVER COUNTY ARPT,BFP
OHIO UNIVERSITY ARPT,ATO
WINGS FIELD ARPT,BBX
RIVERTON REGIONAL,RIW
GILLETTE CAMPBELL CO,GCC
EDWARDS AIR FORCE BASE,AFB
EMMONAK ARPT,EMK
BANGOR INTL,BGR
CHESTER ARPT,KSN
LYNCHBURG REGIONAL,LYH
SPACE COAST REGIONAL,TIX
SIDNEY MUNICIPAL AR[T,SCA
PAGO PAGO INTL,PPG
GNOSS FIELD ARPT,NOT
SCOTTSDALE ARPT,SCF
GARDEN CITY REGIONAL,GCK
INCHEON INTL,ICN
PAGE MUNICIPAL,PGA
MILLVILLE MUNICIPAL ARPT,MIV
ROSTRAVER,P53
MCCORD FIELD ARPT,TCM
DYERSBURG REGIONAL ARPT,KDY
ARCATA AIRPORT,ACV
T B LETTSOME INTL,EIS
ORCAS ISLAND ARPT,ESD
OLYMPIA ARPT,OLM
ATHENS/BEN EPPS ARPT,AHN
FREEPORT INTL,FPO
SAWYER INTL,MQT
PORT-AU-PRINCE INTL,PAP
BIG PINEY-MARBLETON,BPI
DEADHORSE ARPT,SCC
OGDEN-HINCKLEY ARPT,OGD
MIDDLE BASS-EAST POINT,3W9
MEADOWS FIELD ARPT,BFL
NEWTOK ARPT,WWT
LT WARREN EATON ARPT,OIC
DAVID WAYNE HOOKS MEMORIAL ARPT,DWH
HOUSTON-SOUTHWEST ARPT,HOU
MANKATO REGIONAL ARPT,MKT
PETERSBURG JAMES A JOHNSON ARPT,PSG
MUSKEGON COUNTY ARPT,MKG
CREVE COEUR ARPT,1H0
FLAGSTAFF PULLIAM,FLG
ADIRONDAK REGIONAL ARPT,SLK
OCEAN CITY MUNICIPAL  ARPT (MD),OCE
AUBURN-LEWISTON MUNICIPAL,LEW
CARROLL COUNTY-TOLSON ARPT,KTS
MIAMI COUNTY ARPT,MIA
INCIRLIK AIR BASE,UAB
CAMARILLO,KCM
RYAN FIELD ARPT,KRY
ORANJESTAD/REINA BEA,Aru
BELIZE INTERNATIONAL ARPT,BZE
MANDAN MUNICIPAL,Y19
CHICO MUNICIPAL ARPT,CIC
DUBOIS REGIONAL ARPT,DUJ
LEESBURG EXECUTIVE ARPT,KJY
PORTLAND-TROUTDALE ARPT,TTD
HOUSTON MEMORIAL ARPT,IAH
BARCELONA ARPT,BCN
SHREVEPORT DOWNTOWN ARPT,SHV
MELVILLE HALL AIRPORT,DOM
LENAWEE COUNTY ARPT,ADG
DOUBLE EAGLE II ARPT,KAE
CEDAR MILLS,3T0
PRICE COUNTY ARPT,KPB
HATTIESBURG-LAUREL,PIB
SOUTHERN ILLINOIS,MDH
ROLLA NATIONAL ARPT,VIH
RUTLAND STATE ARPT,RUT
ALBERT LEA MUNICIPAL ARPT,AEL
MOUNT HAWLEY,3MY
FRENCH LICK MUNICIPAL ARPT,FRH
QUINCY REGIONAL ARPT - BALDWIN FLD,UIN
SPRINGFIELD BECKLEY MUNICIPAL,SGH
PROVIDENCIALES INTL,PLS
ANDERSON REGIONAL,AND
OCEAN REEF CLUB,OCA
MANSFIELD MUNICIPAL,1B9
CHIPPEWA COUNTY INTL ARPT,CIU
CHEFORNAK ARPT,CYF
MARCO ISLAND ARPT,MRK
SALINAS MUNICIPAL ARPT,SNS
SUNDANCE AIRPARK,KHS
HUSLIA ARPT,HSL
JASPER COUNTY ARPT-BELL FIELD,RNZ
LAWRENCE MUNICIPAL ARPT (MA),LWM
"GUADALAJARA, MEXICO",Gua
ROTA,ROP
JACK MCNAMARA FLD,CEC
COLLIN COUNTY RGNL ARPT AT MCKINNEY,KTK
COTE D AZUR,NCE
NORTHAMPTON ARPT,7B2
FAIRMONT MUNI-FRANKMAN FLD,4G7
KONA INTL ARPT,KOA
BRANDYWINE ARPT,KOQ
SKYHAVEN,KDA
HEATHROW - LONDON,LHR
WINONA MUNICIPAL ARPT,ONA
CROOKSTON MUNI ARPT-KIRKWOOD FIELD,CKN
SOUTH VALLEY REGIONAL ARPT,U42
KICKAPOO DOWNTOWN ARPT,KIP
LAKE HOOD (SPB),PAL
CLINTON COUNTY ARPT,PLB
MADISONVILLE MUNICIPAL,2I0
MASSEY RANCH AIRPARK,X50
ROBT J MILLER AIR PARK,MJX
PETER O KNIGHT ARPT,TPF
PALM BEACH COUNTY PARK ARPT,LNA
VENANGO REGIONAL,FKL
FRIEDMAN MEMORIAL,SUN
SOUTHWEST WASHINGTON REGIONAL ARPT,KLS
RIVERSIDE MUNICIPAL ARPT,RAL
ISLESBORO,57B
IOWA FALLS MUNICIPAL ARPT,IFA
FELTS FIELD ARPT,SFF
DENTON MUNICIPAL ARPT,DTO
MARIANNA MUNICIPAL ARPT,KMA
COLOGNE-BONN,CGN
MCCOOK MUNICIPAL ARPT,MCK
KANSAI INTL,KIX
BAIYUN AIRPORT,CAN
HANCOCK COUNTY-BAR HARBOR,BHB
FERGUS FALLS MUNICIPAL ARPT,FFM
ANKENY REGIONAL,KIK
BAUDETTE INTL ARPT,BDE
DALLAS EXECUTIVE ARPT,RBD
MURFREESBORO MUNICIPAL ARPT,KMB
SPRINGERVILLE MUNICIPAL,JTC
LAUGHLIN BULLHEAD INTL,IFP
UNIV OF OKLAHOMA WESTHEIMER ARPT,OUN
TREVISO ARPT,TSF
OGDENSBURG INTL ARPT,OGS
PINE MOUNTAIN LAKE ARPT,E45
VIRACOPOS-CAMPINAS INTL ARPT,VCP
FRONT RANGE ARPT,KCF
HARTFORD-BRAINARD ARPT,HFD
FRANKLIN FIELD ARPT,F72
MUNICH INTL ARPT,MUC
BOMBAY/MUMBAI,BOM
PETER PRINCE FIELD ARPT,2R4
WEST BRANCH COMMUNITY ARPT,Y31
KINGMAN,IGM
HONG KONG INTL,HKG
FERIHEGY ARPT,BUD
MALMO-STURUP ARPT,MMX
PONCA CITY MUNICIPAL ARPT,PNC
KNOXVILLE DOWNTOWN ISLAND ARPT,DKX
ONA AIRPARK ARPT,12V
DANIEL FIELD ARPT,DNL
DOVER AIR FORCE BASE,DOV
JOHN H BATTEN ARPT,RAC
BERMUDA DUNES ARPT,UDD
MASON CITY MUNICIPAL,MCW
TONCONTIN INTL,TGU
VALENCIA AIRPORT,VLC
KENAI MUNICIPAL ARPT,ENA
GENERAL IGNACIO P GARCIA INTL,HMO
SUBIC BAY INTL,SFS
SUNRIVER,SUO
ST. LUCIA-VIGIE,SLU
CHANDLER MUNICIPAL ARPT,KCH
JEFFERSON COUNTY INTL,TWD
MADISON COUNTY ARPT,MSN
NEWARK-HEATH ARPT,KVT
DODGE CITY REGIONAL ARPT,DDC
PALO ALTO ARPT OF SANTA CLARA COUNTY,PAO
GRATIOT COMMUNITY,AMN
LEIPZIG-HALLE,LEJ
NORTHERN MAINE REGIONAL,PQI
GREENWOOD LAKE ARPT,4N1
HAYS REGIONAL,HYS
CUSTER ARPT,KTT
VIENNA INTL,VIE
M GRAHAM CLARK - TANEY COUNTY ARPT,PLK
RAMONA ARPT,KRN
KILLEEN/FT HOOD REGIONAL,GRK
RICHARD I BONG ARPT,SUW
TRIPLE W ARPT,5W5
WINSTON FIELD ARPT,SNK
EDWARD F KNAPP STATE ARPT,MPV
LEESBURG INTL ARPT,LEE
ANIMAS AIR PARK,AMK
LAKE CITY MUNICIPAL ARPT,LCQ
CRYSTAL ARPT,MIC
FRANKFURT MAIN,FRA
ST GEORGE MUNICIPAL ARPT,SGU
SOLDOTNA AIRPORT,SXQ
GILLESPIE COUNTY,T82
MARCH ARB ARPT,RIV
HENRI COANDA INTL ARPT,OTP
BROOKS COUNTY,BPT
FARMINGTON REGIONAL,KFA
MIDDLE PENINSULA REGIONAL ARPT,FYJ
CLAYTON COUNTY ARPT- TARA FIELD,KHM
PATUXENT RIVER NAS,NHK
PENANG INTL,PEN
GENESEE COUNTY ARPT,KGV
GRANTLEY ADAMS BARBA,BGI
WASHINGTON COUNTY,WSG
STANSTEAD-LONDON,STN
ANDREWS AIR FORCE BASE,ADW
FLAGLER COUNTY ARPT,KFI
GUARULHOS INTL,GRU
BERT MOONEY,BTM
DICKINSON-THEODORE ROOSEVELT RGNL,DIK
JOSE MARIA CORDOVE ARPT,MDE
FESTUS MEMORIAL ARPT,KFE
STUTTGART GERMANY,STR
PERRY COUNTY MUNICIPAL,KTE
EASTERN OREGON REGIONAL ARPT,PDT
DAKAY-YOFF-LEOPOLD SEDAR SENGHOR,DKR
GLENDALE MUNICIPAL ARPT,KGE
FOWLER ARPT,ART
HEBER CITY MUNICIPAL,KHC
PEARSON FIELD ARPT,YYZ
NORTH PALM BEACH CNTY GEN AVTN,F45
RIYAHD AIR BASE,OER
LAWRENCE J TIMMERMAN ARPT,MWC
BOLINGBROOKS CLOW INTL,1C5
UGNU-KUPARUK ARPT,UUK
WASHINGTON COUNTY MEMORIAL,K38
NOME ARPT,OME
SOUTHEAST TEXAS REGIONAL ARPT,BPT
MILLINGTON REGIONAL JETPORT ARPT,NQA
DONALDSON CENTER ARPT,GDC
CORDOVA MUNICIPAL ARPT,CKU
LIVINGSTON COUNTY SPENCER J HARDY,KOZ
SCOTT AFB/MIDAMERICA,BLV
KIRKSVILLE REGIONAL,IRK
FORT COLLINS-LOVELAND,FNL
SAN PEDRO SULA LA MESA,SAP
HOMER ARPT,HOM
VALKARIA,X59
HANA ARPT,HNM
SEBRING REGIONAL ARPT,SEF
BAHRAIN INTL,BAH
HENDERSON CITY-COUNTY ARPT,KEH
CHADRON MUNICIPAL ARPT,CDR
NEW BEDFORD REGIONAL ARPT,EWB
KIPNUK ARPT,KPN
RAS TANAJIB,OETN
FREDERICK MUNICIPAL ARPT,FDK
GRIFFISS INTL,RME
MANISTEE COUNTY-BLACKER ARPT,MBL
MAGNOLIA MUNICIPAL,AGO
ROCK HILL (YORK CO) BRYANT FLD,RKH
MC GUIRE AIR FORCE BASE,WRI
MURTALA MUHAMMED,MMI
NIAGARA FALLS INTL,IAG
LA CHINITA INTL,MAR
MCCONNELL AIR FORCE BASE,IAB
SAN SALVADOR INTL,SAL
KIT CARSON COUNTY,KIT
TRAVIS AIR FORCE BASE,SUU
DOHA INTL,DOH
WATERTOWN,ART
NEW SMYRNA BEACH MUNICIPAL ARPT,EVB
BRITTON MUNICIPAL ARPT SD,TTO
LOGAN-CACHE ARPT,LGU
ARLINGTON MUNICIPAL ARPT (TX),KGK
VISALIA MUNICIPAL ARPT,VIS
PHILIP BILLARD MUNICIPAL ARPT,TOP
MARSHFIELD MUNI/G HARLOW FLD,GHG
RUSSELLVILLE REGIONAL ARPT,KRU
COLES COUNTY MEMORIAL ARPT,MTO
HARVEY FIELD,S43
ZAMPERINI FIELD ARPT,TOA
POPLAR BLUFF MUNICIPAL,POF
WAYNESVILLE-ST ROBERT REGIONAL FORNEY FIELD,TBN
HERNANDO COUNTY,KBK
NEWPORT STATE ARPT,NPT
VANDENBERG ARPT,KVD
ENTERPRISE MUNICIPAL ARPT,ETS
PROVINCETOWN MUNICIPAL ARPT,PVC
HIGGINSVILLE INDUSTRIAL MUNICIPAL ARPT,HSI
NORTH TEXAS REGIONAL ARPT,PNX
NEVADA COUNTY AIR PARK,KGO
HOMESTEAD AIR RESERVE BASE,HST
SOUTHEAST IOWA REGIONAL ARPT,BRL
CLAREMONT MUNICIPAL ARPT,CNH
ONTARIO MUNICIPAL ARPT,ONO
ELEFTHERIOS VENIZELOS INTL,AIA
OPA-LOCKA EXECUTIVE ARPT,OPF
CRAIG MUNICIPAL ARPT,CRG
WILEY POST-WILL ROGERS MEM,BRW
LEE'S SUMMIT MUNICIPAL ARPT,KLX
WARSAW MUNICIPAL (IN),KAS
ALPENA COUNTY REG,APN
POMPANO BEACH AIRPARK,PPM
ODESSA-SCHLEMEYER FIELD ARPT,ODO
ALLIANCE MUNICIPAL ARPT,AIA
GRANITE FALLS MUNICIPAL ARPT,KGD
WASHINGTON EXECUTIVE ARPT HYDE FIELD,W32
LEA COUNTY REGIONAL ARPT,HOB
OTTAWA/MACDONALD-CARTIER INTL,YOW
GREAT BENT MUNICIPAL,GBD
DELPHI MUNICIPAL ARPT,1I9
CANYONLANDS FIELD,CNY
BRAZORIA COUNTY ARPT,LJN
VANCE BRAND ARPT,KLM
MARCO POLO INTL,VCE
STILLWATER REGIONAL ARPT,SWO
BOLIVAR MUNICIPAL ARPT,M17
JOHNSTOWN-CAMBRIA,JST
SHOW LOW REGIONAL ARPT,SOW
BALDWIN COUNTY ARPT,MLJ
KALAUPAPA ARPT,LUP
MERCED MUNICIPAL,MCE
NEWTON CITY/COUNTY ARPT,EWK
PELLSTON REGIONAL,PLN
SPRINGDALE MUNICIPAL ARPT,SPZ
BRUNSWICK GOLDEN ISLES,BQK
SHALZ FIELD ARPT,CBK
DILLINGHAM ARPT,DLG
MESQUITE METRO ARPT,KHQ
FRANK WILEY FIELD ARPT,MLS
GILLESPIE FIELD ARPT,SEE
DELAWARE AIRPARK,33N
VICKSBURG TALLULAH REGIONAL ARPT,TVR
WARREN FIELD ARPT,KOCW
IXTAPA-ZIHUATENEJO,ZIH
WAUKESHA COUNTY ARPT,UES
MOUNT AIRY/SURRY COUNTY ARPT,KMW
GENERAL WM J FOX AIRFIELD,WJF
ROWAN COUNTY ARPT,SRW
CINCINNATI-BLUE ASH ARPT,KIS
WATERTOWN MUNICIPAL ARPT,ATY
CEDAR CITY REGIONAL,CDC
POTSDAM MUNICIPAL ARPT,KPT
AUBURN-OPELIKA RG PITTS,AUO
SCAMMON BAY AIRPORT,SCM
GEORGETOWN MUNICIPAL ARPT,GTU
GALEAO INTL (RIO),GIG
SASKATOON/JOHN G. DIEFENBAKER INTL,YXE
SHELL LAKE MUNICIPAL ARPT,KSS
DEVILS LAKE REGIONAL ARPT,DVL
GWINNER-ROGER MELROE FIELD ARPT,KGW
SIDNEY-RICHLAND MUNICIPAL ARPT,SDY
NORTHWEST FLORIDA BEACHES INTL,ECP
BOLINDER FIELD - TOOELE VALLEY ARPT,KTV
PRINCEVILLE ARPT,HPV
CHEVRON USA INC SEAPLANE BASE,8LA1
LAWRENCE MUNICIPAL  ARPT (KS),LWC
TULIP CITY ARPT,KBI
KNOX COUNTY REGIONAL,RKD
GEORGE M BRYAN ARPT,KST
HARRISON COUNTY ARPT,ASL
HAVRE CITY-COUNTY ARPT,HVR
YAZOO COUNTY ARPT,87I
EAGLE COUNTY REGIONAL,EGE
STENNIS INTL ARPT,KHS
PAUL C MILLER-SPARTA ARPT,8D4
MC KELLER FLD ARPT,MKL
PITT-GREENVILLE ARPT,PGV
DARE COUNTY REGIONAL ARPT,MEO
SHENZHEN,SZX
TRACY MUNICIPAL ARPT,KTC
HARDY-ANDERS FLD NATCHEZ-ADAMS CNTY,HEZ
GLACIER PARK INTL,FCA
DUBLIN INTL ARPT,DUB
WAUPACA MUNICIPAL ARPT,KPC
NORMAN MANLEY INTL,KIN
COLUMBIA GORGE REGIONAL ARPT,DLS
VICTORIA INTL,YYJ
CORPUS CHRISTI NAS/TRUAX FIELD,NGP
IMMOKALEE REGIONAL ARPT,IMM
CHAUTAUQUA COUNTY/JAMESTOWN ARPT,JHW
ANIAK AIRPORT,ANI
SHANNON INTL,SNN
WATERTOWN INTL ARPT,ART
GENERAL RAFAEL BUELNA INTL,MZT
DAVIS MONTHAN AIR FORCE BASE,DM 
SHERIDAN COUNTY ARPT,SHR
BASEL-MULHOUSE-FREIBURG,MLH
PALMYRA (COOPER) AIRPORT,P16
KENTMORR AIRPARK,3W3
EAGLE CREEK AIRPARK,KEY
MALAGA ARPT,AGP
GENERAL ROBERTO FIERRO VILLALOBOS INTL,CUU
RICHLAND ARPT,RLD
ZURICH,ZRH
GUSTAVO ROJAS PINILLA INTL ARPT,ADZ
BOB SIKES ARPT,CEW
V C BIRD INTL ARPT,ANU
BOULDER CITY MUNICIPAL ARPT,BLD
UKIAH MUNICIPAL ARPT,UKI
WEST PLAINS REGIONAL ARPT,KUN
TUNICA MUNI ARPT,UTM
RAMSTEIN AIR FORCE BASE,RMS
THE FLORIDA KEYS MARATHON,MTH
NORTH BIG HORN COUNTY ARPT,U68
MACKINAC COUNTY ARPT,83D
HUTCHINSON MUNICIPAL,HUT
DELAWARE MUNICIPAL ARPT,KDL
GALILEO GALILEI ARPT,PSA
MEFFORD FIELD ARPT,TLR
CRAWFORDSVILLE MUNI ARPT,KCF
HICKORY REGIONAL ARPT,HKY
QUINN FIELD ARPT,UIN
MONTREAL INTL (MIRABEL),YMX
PORT GRAHAM ARPT,PGM
MARANA REGIONAL ARPT,AVW
MERRIT ISLAND ARPT,COI
GRAYSON COUNTY ARPT,PNX
LAKE PALOURDE BASE HELIPORT,LHD
CULPEPER REGIONAL ARPT,KCJ
PRINCESS JULIANA,SXM
